using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 2640 batches
Using OneCycleLR scheduler with max_lr=0.0003 and total_steps=10000
step 509, loss: 3.7330, current_lr: 0.000032
step 510, loss: 4.0707, current_lr: 0.000032
step 511, loss: 3.9348, current_lr: 0.000032
step 512, loss: 3.2198, current_lr: 0.000032
step 513, loss: 3.7953, current_lr: 0.000032
step 514, loss: 3.3676, current_lr: 0.000032
step 515, loss: 3.9954, current_lr: 0.000033
step 516, loss: 4.0522, current_lr: 0.000033
step 517, loss: 3.5928, current_lr: 0.000033
step 518, loss: 4.0057, current_lr: 0.000033
step 519, loss: 3.0162, current_lr: 0.000033
step 520, loss: 3.6742, current_lr: 0.000033
step 521, loss: 3.1470, current_lr: 0.000033
step 522, loss: 3.5151, current_lr: 0.000033
